1,5,1,1
2,3,2,1
3,4,3,1
4,3,4,1
5,3,5,1
6,5,6,1
7,4,7,1
8,1,8,1
9,5,9,1
10,3,10,1
11,2,11,1
12,5,12,1
13,5,13,1
14,5,14,1
15,5,15,1
16,5,16,1
17,4,18,1
18,5,19,1
19,4,20,1
20,1,21,1
21,4,22,1
22,4,23,1
23,3,24,1
24,4,25,1
25,3,26,1
26,2,27,1
27,4,28,1
28,1,29,1
29,3,30,1
30,3,31,1
31,5,32,1
32,4,33,1
33,2,34,1
34,1,35,1
35,2,36,1
36,2,37,1
37,3,38,1
38,4,39,1
39,3,40,1
40,2,41,1
41,5,42,1
42,4,43,1
43,5,44,1
44,5,45,1
45,4,46,1
46,5,48,1
47,3,49,1
48,5,50,1
49,4,1,2
50,2,10,2
51,4,13,2
52,4,14,2
53,3,19,2
54,4,25,2
55,5,50,2
56,5,50,4
57,4,1,5
58,3,2,5
59,4,17,5
60,3,21,5
61,3,25,5
62,4,29,5
63,4,40,5
64,5,42,5
65,4,50,5
66,4,1,6
67,2,7,6
68,4,8,6
69,4,9,6
70,4,12,6
71,2,13,6
72,5,14,6
73,3,15,6
74,4,19,6
75,3,21,6
76,3,22,6
77,4,23,6
78,2,28,6
79,4,32,6
80,3,47,6
81,4,50,6
82,5,4,7
83,5,7,7
84,5,8,7
85,5,9,7
86,4,10,7
87,3,11,7
88,5,12,7
89,5,22,7
90,3,23,7
91,3,25,7
92,4,27,7
93,5,28,7
94,3,29,7
95,4,31,7
96,4,32,7
97,5,39,7
98,5,44,7
99,5,47,7
100,5,50,7
101,3,11,8
102,5,22,8
103,5,50,8
104,5,6,9
105,4,7,9
106,4,1,10
107,4,4,10
108,4,7,10
109,4,9,10
110,4,11,10
111,5,12,10
112,3,13,10
113,4,16,10
114,5,22,10
115,5,23,10
116,4,32,10
117,4,33,10
118,4,40,10
119,5,50,10
120,4,8,11
121,5,9,11
122,2,11,11
123,2,12,11
124,5,15,11
125,4,22,11
126,3,24,11
127,3,25,11
